,state_po,county,cor_pred
0,NH,Hillsborough,5
1,OH,Sandusky,5
2,DE,Kent,5
3,OH,Ottawa,5
4,WA,Clallam,5
5,VA,Roanoke,5
6,VA,Richmond,5
7,WI,Marquette,5
8,IL,Carroll,5
9,NY,Essex,5
10,MI,Van Buren,5
11,WI,Lincoln,5
12,NY,Cortland,5
13,ND,Ransom,5
14,ND,Sargent,5
15,OH,Wood,5
16,IL,Jo Daviess,5
17,MI,Shiawassee,5
18,ME,Washington,5
19,SD,Marshall,5
20,NY,Madison,5
21,WI,Racine,5
22,NY,Otsego,5
23,NY,Saratoga,5
24,MT,Blaine,5
25,VT,Essex,5
26,IA,Marshall,5
27,NY,Warren,5
28,WI,Winnebago,5
29,NY,Washington,5
30,VA,Westmoreland,5
31,WI,Sawyer,5
32,IA,Union,5
33,MI,Eaton,5
34,NY,Orange,5
35,MN,Traverse,5
36,WI,Richland,5
37,IA,Bremer,5
38,WI,Juneau,5
39,MS,Chickasaw,5
40,VA,Chesapeake,5
41,MN,Houston,5
42,OR,Tillamook,5
43,IN,Porter,5
44,MT,Hill,5
45,IN,Delaware,5
46,VA,Franklin,5
47,NM,Hidalgo,5
48,VA,Essex,5
49,IN,Vigo,5
50,MN,Clay,5
51,VA,Bedford,5
52,IL,Warren,5
53,NM,Valencia,5
54,WI,Door,5
55,NY,Oswego,5
56,SC,Barnwell,5
57,SC,Colleton,5
58,SC,Calhoun,5
59,IA,Allamakee,5
60,VA,Buckingham,5
61,WI,Forest,5
